incident_id,incident_name,discovery_date,contain_date,fire_year,state,county_fips,county_name,latitude,longitude,fire_size_acres,fire_size_class,cause,structures_destroyed,personnel_assigned
FIRE-2018-000001,California Fire 1,2018-07-31,2018-09-04,2018,CA,1001,California County 00,33.20683,-123.77805,66.7,C,Lightning,0,1
FIRE-2018-000002,California Fire 2,2018-08-14,2018-09-25,2018,CA,1001,California County 00,34.10029,-123.92608,1.3,B,Human - Campfire,0,1
FIRE-2018-000003,California Fire 3,2018-09-04,2018-10-02,2018,CA,1001,California County 00,35.25278,-123.76975,71.1,C,Lightning,0,17
FIRE-2018-000004,California Fire 4,2018-11-21,2018-12-30,2018,CA,1001,California County 00,32.7937,-123.61644,5.1,B,Lightning,0,10
FIRE-2018-000005,California Fire 5,2018-08-23,2018-10-03,2018,CA,1001,California County 00,35.4206,-124.17233,4.1,B,Human - Debris Burning,0,8
FIRE-2018-000006,California Fire 6,2018-06-19,2018-06-25,2018,CA,1001,California County 00,32.64511,-122.6505,12.9,C,Powerline,0,7
FIRE-2018-000007,California Fire 7,2018-07-03,2018-08-15,2018,CA,1001,California County 00,35.14135,-123.3098,8.9,B,Lightning,0,13
FIRE-2018-000008,California Fire 8,2018-07-11,2018-08-05,2018,CA,1001,California County 00,33.04194,-122.90103,65.3,C,Lightning,0,16
FIRE-2018-000009,California Fire 9,2018-07-05,2018-07-08,2018,CA,1001,California County 00,33.5269,-123.92351,73.1,C,Powerline,0,1
FIRE-2018-000010,California Fire 10,2018-08-19,2018-09-20,2018,CA,1001,California County 00,34.29607,-122.10302,63.3,C,Human - Equipment,0,12
FIRE-2018-000011,California Fire 11,2018-07-11,2018-08-18,2018,CA,1001,California County 00,33.28099,-123.80469,41.2,C,Human - Equipment,0,1
FIRE-2018-000012,California Fire 12,2018-09-05,2018-09-16,2018,CA,1002,California County 01,34.89331,-120.57952,98.7,C,Powerline,0,4
FIRE-2018-000013,California Fire 13,2018-07-24,2018-07-25,2018,CA,1002,California County 01,35.65438,-120.87325,37.7,C,Human - Campfire,0,3
FIRE-2018-000014,California Fire 14,2018-10-26,2018-11-06,2018,CA,1002,California County 01,34.9339,-119.90395,20.8,C,Human - Equipment,0,14
FIRE-2018-000015,California Fire 15,2018-11-14,2018-12-25,2018,CA,1002,California County 01,34.08519,-121.1836,9.8,B,Lightning,0,1
FIRE-2018-000016,California Fire 16,2018-06-25,2018-07-29,2018,CA,1002,California County 01,34.91462,-121.4738,38.8,C,Undetermined,0,1
FIRE-2018-000017,California Fire 17,2018-06-22,2018-07-08,2018,CA,1002,California County 01,33.64944,-121.58135,211.1,D,Lightning,0,28
FIRE-2018-000018,California Fire 18,2018-05-16,2018-05-25,2018,CA,1002,California County 01,34.03897,-121.65016,3.6,B,Lightning,0,1
FIRE-2018-000019,California Fire 19,2018-08-18,2018-09-22,2018,CA,1002,California County 01,35.2627,-121.17923,27.5,C,Human - Arson,0,1
FIRE-2018-000020,California Fire 20,2018-05-27,2018-06-25,2018,CA,1002,California County 01,34.62701,-120.82765,23.4,C,Lightning,0,2
FIRE-2018-000021,California Fire 21,2018-09-22,2018-11-02,2018,CA,1002,California County 01,33.2287,-120.33069,12.4,C,Lightning,0,2
FIRE-2018-000022,California Fire 22,2018-07-10,2018-08-16,2018,CA,1003,California County 02,34.03715,-118.519,38.7,C,Human - Debris Burning,0,12
FIRE-2018-000023,California Fire 23,2018-08-11,2018-09-07,2018,CA,1003,California County 02,32.7987,-118.18147,53.8,C,Human - Equipment,0,13
